year,month,period,oni,oscillation
2008,1,DJF,-1.6,La Niña
2008,2,JFM,-1.5,La Niña
2008,3,FMA,-1.3,La Niña
2008,4,MAM,-1,La Niña
2008,5,AMJ,-0.8,La Niña
2008,6,MJJ,-0.6,La Niña
2008,7,JJA,-0.4,
2008,8,JAS,-0.2,
2008,9,ASO,-0.2,
2008,10,SON,-0.4,
2008,11,OND,-0.6,La Niña
2008,12,NDJ,-0.7,La Niña
2009,1,DJF,-0.8,La Niña
2009,2,JFM,-0.8,La Niña
2009,3,FMA,-0.6,La Niña
2009,4,MAM,-0.3,
2009,5,AMJ,0,
2009,6,MJJ,0.3,
2009,7,JJA,0.5,El Niño
2009,8,JAS,0.6,El Niño
2009,9,ASO,0.7,El Niño
2009,10,SON,1,El Niño
2009,11,OND,1.4,El Niño
2009,12,NDJ,1.6,El Niño
2010,1,DJF,1.5,El Niño
2010,2,JFM,1.2,El Niño
2010,3,FMA,0.8,El Niño
2010,4,MAM,0.4,
2010,5,AMJ,-0.2,
2010,6,MJJ,-0.7,La Niña
2010,7,JJA,-1,La Niña
2010,8,JAS,-1.3,La Niña
2010,9,ASO,-1.6,La Niña
2010,10,SON,-1.6,La Niña
2010,11,OND,-1.6,La Niña
2010,12,NDJ,-1.6,La Niña
2011,1,DJF,-1.4,La Niña
2011,2,JFM,-1.2,La Niña
2011,3,FMA,-0.9,La Niña
2011,4,MAM,-0.7,La Niña
2011,5,AMJ,-0.6,La Niña
2011,6,MJJ,-0.4,
2011,7,JJA,-0.5,La Niña
2011,8,JAS,-0.6,La Niña
2011,9,ASO,-0.8,La Niña
2011,10,SON,-1,La Niña
2011,11,OND,-1.1,La Niña
2011,12,NDJ,-1,La Niña
2012,1,DJF,-0.9,La Niña
2012,2,JFM,-0.7,La Niña
2012,3,FMA,-0.6,La Niña
2012,4,MAM,-0.5,La Niña
2012,5,AMJ,-0.3,
2012,6,MJJ,0,
2012,7,JJA,0.2,
2012,8,JAS,0.4,
2012,9,ASO,0.4,
2012,10,SON,0.3,
2012,11,OND,0.1,
2012,12,NDJ,-0.2,
2013,1,DJF,-0.4,
2013,2,JFM,-0.4,
2013,3,FMA,-0.3,
2013,4,MAM,-0.3,
2013,5,AMJ,-0.4,
2013,6,MJJ,-0.4,
2013,7,JJA,-0.4,
2013,8,JAS,-0.3,
2013,9,ASO,-0.3,
2013,10,SON,-0.2,
2013,11,OND,-0.2,
2013,12,NDJ,-0.3,
2014,1,DJF,-0.4,
2014,2,JFM,-0.5,
2014,3,FMA,-0.3,
2014,4,MAM,0,
2014,5,AMJ,0.2,
2014,6,MJJ,0.2,
2014,7,JJA,0,
2014,8,JAS,0.1,
2014,9,ASO,0.2,
2014,10,SON,0.5,El Niño
2014,11,OND,0.6,El Niño
2014,12,NDJ,0.7,El Niño
2015,1,DJF,0.5,El Niño
2015,2,JFM,0.5,El Niño
2015,3,FMA,0.5,El Niño
2015,4,MAM,0.7,El Niño
2015,5,AMJ,0.9,El Niño
2015,6,MJJ,1.2,El Niño
2015,7,JJA,1.5,El Niño
2015,8,JAS,1.9,El Niño
2015,9,ASO,2.2,El Niño
2015,10,SON,2.4,El Niño
2015,11,OND,2.6,El Niño
2015,12,NDJ,2.6,El Niño
2016,1,DJF,2.5,El Niño
2016,2,JFM,2.1,El Niño
2016,3,FMA,1.6,El Niño
2016,4,MAM,0.9,El Niño
2016,5,AMJ,0.4,
2016,6,MJJ,-0.1,
2016,7,JJA,-0.4,
2016,8,JAS,-0.5,La Niña
2016,9,ASO,-0.6,La Niña
2016,10,SON,-0.7,La Niña
2016,11,OND,-0.7,La Niña
2016,12,NDJ,-0.6,La Niña
2017,1,DJF,-0.3,
2017,2,JFM,-0.2,
2017,3,FMA,0.1,
2017,4,MAM,0.2,
2017,5,AMJ,0.3,
2017,6,MJJ,0.3,
2017,7,JJA,0.1,
2017,8,JAS,-0.1,
2017,9,ASO,-0.4,
2017,10,SON,-0.7,La Niña
2017,11,OND,-0.8,La Niña
2017,12,NDJ,-1,La Niña
2018,1,DJF,-0.9,La Niña
2018,2,JFM,-0.9,La Niña
2018,3,FMA,-0.7,La Niña
2018,4,MAM,-0.5,La Niña
2018,5,AMJ,-0.2,
2018,6,MJJ,0,
2018,7,JJA,0.1,
2018,8,JAS,0.2,
2018,9,ASO,0.5,El Niño
2018,10,SON,0.8,El Niño
2018,11,OND,0.9,El Niño
2018,12,NDJ,0.8,El Niño
2019,1,DJF,0.7,El Niño
2019,2,JFM,0.7,El Niño
2019,3,FMA,0.7,El Niño
2019,4,MAM,0.7,El Niño
2019,5,AMJ,0.5,El Niño
2019,6,MJJ,0.5,El Niño
2019,7,JJA,0.3,
2019,8,JAS,0.1,
2019,9,ASO,0.2,
2019,10,SON,0.3,
2019,11,OND,0.5,
2019,12,NDJ,0.5,
2020,1,DJF,0.5,
2020,2,JFM,0.5,
2020,3,FMA,0.4,
2020,4,MAM,0.2,
2020,5,AMJ,-0.1,
2020,6,MJJ,-0.3,
2020,7,JJA,-0.4,
2020,8,JAS,-0.6,La Niña
2020,9,ASO,-0.9,La Niña
2020,10,SON,-1.2,La Niña
2020,11,OND,-1.3,La Niña
2020,12,NDJ,-1.2,La Niña
2021,1,DJF,0.5,
2021,2,JFM,0.5,
2021,3,FMA,0.4,
