year,season,traps,nburrows_traps_set,nburrows_degus_trapped
2009,fall,413,50,55
2009,spring,356,38,44
2010,fall,350,35,29
2010,spring,358,38,39
2011,fall,370,37,28
2011,spring,440,43,61
2012,fall,430,43,33
2012,spring,400,40,39
2013,fall,400,40,42
2013,spring,400,40,56
2014,fall,400,40,41
2014,spring,400,40,48
2015,fall,400,40,50
2015,spring,400,40,52
2016,fall,400,40,46
2016,spring,400,40,48
2017,fall,399,40,39
2017,spring,400,40,48
2018,fall,400,40,49
2018,spring,400,40,49
2019,fall,400,40,33
2019,spring,400,40,41
2020,fall,400,40,0
2020,spring,400,40,0
