,time,N,se,LCL,UCL
1,1,82.5112383,13.22448286,56.59125188,108.4312247
2,2,239.0443154,22.32651809,195.2843399,282.8042908
3,3,43.9529213,5.821435339,32.54290803,55.36293456
4,4,240.5238165,9.645909296,221.6178342,259.4297987
5,5,55.48521588,10.11679914,35.65628957,75.31414219
6,6,254.7222032,14.04695522,227.190171,282.2542355
7,7,69.72919149,13.0543032,44.14275722,95.31562577
8,8,255.3587127,11.89792676,232.0387762,278.6786491
9,9,104.6174151,11.12220738,82.81788867,126.4169416
10,10,334.864517,13.98436387,307.4551638,362.2738701
11,11,124.2250025,10.0554915,104.5162392,143.9337658
12,12,379.9790473,17.59598967,345.4909076,414.4671871
13,13,133.4308386,11.7376874,110.4249713,156.4367059
14,14,402.6260696,15.9323098,371.3987424,433.8533968
15,15,167.8205839,12.45576131,143.4072917,192.233876
16,16,426.4898907,13.308884,400.4044781,452.5753033
17,17,80.78540532,7.965855671,65.17232821,96.39848244
18,18,408.693334,12.58478184,384.0271615,433.3595064
19,19,148.1021012,14.6705068,119.3479079,176.8562945
20,20,534.6082804,16.93724321,501.4112837,567.8052771
21,21,142.9281829,23.3290397,97.20326511,188.6531007
22,22,563.5668036,23.38198214,517.7381186,609.3954886
